condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount
actualWalkTwo,,,467,0,0,0,0

actualWalkTwo,,,468,0,0,0,0

actualWalkTwo,,,469,0,0,0,0

actualWalkTwo,,,470,0,0,0,0

actualWalkTwo,,,471,0,0,0,0

actualWalkTwo,,,472,0,0,0,0

actualWalkTwo,,,473,0,0,0,0

actualWalkTwo,,,474,0,0,0,0

actualWalkTwo,,,475,0,0,0,0

actualWalkTwo,,,476,0,0,0,0

actualWalkTwo,,,477,0,0,0,0

actualWalkTwo,,,478,0,0,0,0

actualWalkTwo,,,479,0,0,0,0

actualWalkTwo,,,480,0,0,0,0

actualWalkTwo,,,481,0,0,0,0

actualWalkTwo,,,482,0,0,0,0

actualWalkTwo,,,483,0,0,0,0

actualWalkTwo,,,484,0,0,0,0

actualWalkTwo,,,485,0,0,0,0

actualWalkTwo,,,486,0,0,0,0

actualWalkTwo,,,487,0,0,0,0

actualWalkTwo,,,488,0,0,0,0

actualWalkTwo,,,489,0,0,0,0

actualWalkTwo,,,490,0,0,0,0

actualWalkTwo,,,491,0,0,0,0

actualWalkTwo,,,492,0,0,0,0

actualWalkTwo,,,493,0,0,0,0

actualWalkTwo,,,494,0,0,0,0

actualWalkTwo,,,495,0,0,0,0

actualWalkTwo,,,496,0,0,0,0

actualWalkTwo,,,497,0,0,0,0

actualWalkTwo,,,498,0,0,0,0

actualWalkTwo,,,499,0,0,0,0

actualWalkTwo,,,500,0,0,0,0

actualWalkTwo,,,501,0,0,0,0

actualWalkTwo,,,502,0,0,0,0

actualWalkTwo,,,503,0,0,0,0

actualWalkTwo,,,504,0,0,0,0

actualWalkTwo,,,505,0,0,0,0

actualWalkTwo,,,506,0,0,0,0

actualWalkTwo,,,507,0,0,0,0

actualWalkTwo,,,508,0,0,0,0

actualWalkTwo,,,509,0,0,0,0

actualWalkTwo,,,510,0,0,0,0

actualWalkTwo,,,511,0,0,0,0

actualWalkTwo,,,512,0,0,0,0

actualWalkTwo,,,513,0,0,0,0

actualWalkTwo,,,514,0,0,0,0

actualWalkTwo,,,515,0,0,0,0

actualWalkTwo,,,516,0,0,0,0

actualWalkTwo,,,517,0,0,0,0

actualWalkTwo,,,518,0,0,0,0

actualWalkTwo,,,519,0,0,0,0

actualWalkTwo,,,520,0,0,0,0

actualWalkTwo,,,521,0,0,0,0

actualWalkTwo,,,522,0,0,0,0

actualWalkTwo,,,523,0,0,0,0

actualWalkTwo,,,524,0,0,0,0

actualWalkTwo,,,525,0,0,0,0

actualWalkTwo,,,526,0,0,0,0

actualWalkTwo,,,527,0,0,0,0

actualWalkTwo,,,528,0,0,0,0

actualWalkTwo,,,529,0,0,0,0

actualWalkTwo,,,530,0,0,0,0

actualWalkTwo,,,531,0,0,0,0

actualWalkTwo,,,532,0,0,0,0

actualWalkTwo,,,533,0,0,0,0

actualWalkTwo,,,534,0,0,0,0

actualWalkTwo,,,535,0,0,0,0

actualWalkTwo,,,536,0,0,0,0

actualWalkTwo,,,537,0,0,0,0

actualWalkTwo,,,538,0,0,0,0

actualWalkTwo,,,539,0,0,0,0

actualWalkTwo,,,540,0,0,0,0

actualWalkTwo,,,541,0,0,0,0

actualWalkTwo,,,542,0,0,0,0

actualWalkTwo,,,543,0,0,0,0

actualWalkTwo,,,544,0,0,0,0

actualWalkTwo,,,545,0,0,0,0

actualWalkTwo,,,546,0,0,0,0

actualWalkTwo,,,547,0,0,0,0

actualWalkTwo,,,548,0,0,0,0

actualWalkTwo,,,549,0,0,0,0

actualWalkTwo,,,550,0,0,0,0

actualWalkTwo,,,551,0,0,0,0

actualWalkTwo,,,552,0,0,0,0

actualWalkTwo,,,553,0,0,0,0

actualWalkTwo,,,554,0,0,0,0

actualWalkTwo,,,555,0,0,0,0

actualWalkTwo,,,556,0,0,0,0

actualWalkTwo,,,557,0,0,0,0

actualWalkTwo,,,558,0,0,0,0

actualWalkTwo,,,559,0,0,0,0

actualWalkTwo,,,560,0,0,0,0

actualWalkTwo,,,561,0,0,0,0

actualWalkTwo,,,562,0,0,0,0

actualWalkTwo,,,563,0,0,0,0

actualWalkTwo,,,564,0,0,0,0

actualWalkTwo,,,565,0,0,0,0

actualWalkTwo,,,566,0,0,0,0

actualWalkTwo,,,567,0,0,0,0

actualWalkTwo,,,568,0,0,0,0

actualWalkTwo,,,569,0,0,0,0

actualWalkTwo,,,570,0,0,0,0

actualWalkTwo,,,571,0,0,0,0

actualWalkTwo,,,572,0,0,0,0

actualWalkTwo,,,573,0,0,0,0

actualWalkTwo,,,574,0,0,0,0

actualWalkTwo,,,575,0,0,0,0

actualWalkTwo,,,576,0,0,0,0

actualWalkTwo,,,577,0,0,0,0

actualWalkTwo,,,578,0,0,0,0

actualWalkTwo,,,579,0,0,0,0

actualWalkTwo,,,580,0,0,0,0

actualWalkTwo,,,581,0,0,0,0

actualWalkTwo,,,582,0,0,0,0

actualWalkTwo,,,583,0,0,0,0

actualWalkTwo,,,584,0,0,0,0

actualWalkTwo,,,585,0,0,0,0

actualWalkTwo,,,586,0,0,0,0

actualWalkTwo,,,587,0,0,0,0

actualWalkTwo,,,588,0,0,0,0

actualWalkTwo,,,589,0,0,0,0

actualWalkTwo,,,590,0,0,0,0

actualWalkTwo,,,591,0,0,0,0

actualWalkTwo,,,592,0,0,0,0

actualWalkTwo,,,593,0,0,0,0

actualWalkTwo,,,594,0,0,0,0

actualWalkTwo,,,595,0,0,0,0

actualWalkTwo,,,596,0,0,0,0

actualWalkTwo,,,597,0,0,0,0

actualWalkTwo,,,598,0,0,0,0

actualWalkTwo,,,599,0,0,0,0

actualWalkTwo,,,600,0,0,0,0

actualWalkTwo,,,601,0,0,0,0

actualWalkTwo,,,602,0,0,0,0

actualWalkTwo,,,603,0,0,0,0

actualWalkTwo,,,604,0,0,0,0

actualWalkTwo,,,605,0,0,0,0

actualWalkTwo,,,606,0,0,0,0

actualWalkTwo,,,607,0,0,0,0

actualWalkTwo,,,608,0,0,0,0

actualWalkTwo,,,609,0,0,0,0

actualWalkTwo,,,610,0,0,0,0

actualWalkTwo,,,611,0,0,0,0

actualWalkTwo,,,612,0,0,0,0

actualWalkTwo,,,613,0,0,0,0

actualWalkTwo,,,614,0,0,0,0

actualWalkTwo,,,615,0,0,0,0

actualWalkTwo,,,616,0,0,0,0

actualWalkTwo,,,617,0,0,0,0

actualWalkTwo,,,618,0,0,0,0

actualWalkTwo,,,619,0,0,0,0

actualWalkTwo,,,620,0,0,0,0

actualWalkTwo,,,621,0,0,0,0

actualWalkTwo,,,622,0,0,0,0

actualWalkTwo,,,623,0,0,0,0

